,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.635,0.074,0.19,0.107,0.441,3.7418573896118517,0.9191461226031926,0.9098894871068292
1,MultirefBlock,20,0.809,0.216,0.255,0.234,0.675,1.2449298037911376,0.9323314065510597,0.978728323699422
2,MultirefSVMBlock,20,0.789,0.243,0.398,0.301,0.705,1.5931951075855295,0.933415435139573,0.951231527093596
3,BaseClassifier,40,0.645,0.108,0.29,0.158,0.49,1.7162449153701687,0.908278050187482,0.9751946928179983
4,MultirefBlock,40,0.682,0.185,0.524,0.274,0.674,3.078951377148428,0.9303173664498324,0.9024246008279124
5,MultirefSVMBlock,40,0.575,0.186,0.805,0.303,0.723,5.408356558718339,0.9444664292309721,0.8167787890779581
6,BaseClassifier,60,0.495,0.141,0.668,0.233,0.571,4.721647988152938,0.9725507373339173,0.9316688567674113
7,MultirefBlock,60,0.712,0.183,0.438,0.258,0.662,2.4436325413239786,0.9241505968778696,0.9261707988980716
8,MultirefSVMBlock,60,0.599,0.205,0.867,0.331,0.803,5.642847993634973,0.9536029030585795,0.8098755832037325
9,BaseClassifier,80,0.363,0.14,0.885,0.242,0.59,10.827118804734823,1.0784883720930232,0.840843023255814
10,MultirefBlock,80,0.608,0.17,0.623,0.267,0.655,4.358695075307168,0.9244827586206896,0.8658620689655172
11,MultirefSVMBlock,80,0.379,0.149,0.937,0.257,0.709,13.953259860493802,0.915948275862069,0.7083333333333334
12,BaseClassifier,100,0.115,0.115,1.0,0.206,0.5,High,0.0,0.0
13,MultirefBlock,100,0.645,0.167,0.527,0.254,0.642,3.613049055866412,0.9216791979949874,0.8865914786967418
14,MultirefSVMBlock,100,0.293,0.132,0.932,0.232,0.657,19.4546170717029,0.8582731338149294,0.6408668730650154
