,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.635,0.074,0.19,0.107,0.441,3.7418573896118517,0.9191461226031926,0.9098894871068292
1,MultirefBlock,20,0.868,0.298,0.112,0.162,0.746,0.6516223230709102,0.9320097526994078,0.9968375875310594
2,MultirefSVMBlock,20,0.85,0.39,0.55,0.457,0.832,0.7241404766860455,0.964703076556165,0.9778201764846172
3,BaseClassifier,40,0.645,0.108,0.29,0.158,0.49,1.7162449153701687,0.908278050187482,0.9751946928179983
4,MultirefBlock,40,0.815,0.261,0.333,0.292,0.75,0.8370540121823069,0.946410436684634,0.9730489805483946
5,MultirefSVMBlock,40,0.82,0.315,0.489,0.383,0.771,0.9913618469142591,0.9508635368523473,0.9717830211627341
6,BaseClassifier,60,0.495,0.141,0.668,0.233,0.571,4.721647988152938,0.9725507373339173,0.9316688567674113
7,MultirefBlock,60,0.812,0.273,0.384,0.319,0.761,0.9217450145773967,0.9512912197059992,0.9685339690107271
8,MultirefSVMBlock,60,0.717,0.248,0.724,0.37,0.785,2.4722130156033586,0.9581330128205128,0.9182692307692307
9,BaseClassifier,80,0.363,0.14,0.885,0.242,0.59,10.827118804734823,1.0784883720930232,0.840843023255814
10,MultirefBlock,80,0.797,0.262,0.424,0.324,0.757,0.9941562459671616,0.9563579792024891,0.9658560550233358
11,MultirefSVMBlock,80,0.63,0.166,0.551,0.255,0.635,3.510870955382245,0.898846112369244,0.9087673891944354
12,BaseClassifier,100,0.115,0.115,1.0,0.206,0.5,High,0.0,0.0
13,MultirefBlock,100,0.854,0.312,0.225,0.262,0.767,0.5698485034199336,0.9404839764551994,0.9916421956177999
14,MultirefSVMBlock,100,0.587,0.163,0.63,0.259,0.665,4.473042480540244,0.9172653256704981,0.8767959770114943
