,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.765,0.61,0.773,0.682,0.847,3.55539710541683,0.9879408418657565,0.9348122866894198
1,MultirefSVMBlock,20,0.768,0.606,0.822,0.698,0.861,3.8141639599701875,0.9511669658886893,0.9342908438061042
2,MultirefBlock,40,0.791,0.642,0.816,0.718,0.874,3.7161733906203835,0.9517783857729137,0.9059507523939808
3,MultirefSVMBlock,40,0.8,0.646,0.859,0.737,0.895,3.1782732960140265,0.9651354534746761,0.9480565371024735
4,MultirefBlock,60,0.786,0.635,0.813,0.713,0.873,3.837249161734519,0.9456858026813337,0.8975592987280853
5,MultirefSVMBlock,60,0.8,0.643,0.872,0.74,0.899,3.2778441870332813,0.9382183908045977,0.9450431034482759
