,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.765,0.611,0.772,0.682,0.847,3.5022651450447597,0.9854677565849227,0.9346049046321526
1,MultirefSVMBlock,20,0.764,0.61,0.77,0.681,0.846,3.3570899612120684,0.9967086596300079,0.9431392577459993
2,MultirefBlock,40,0.791,0.643,0.813,0.718,0.874,3.6021515623683626,0.9483424159854678,0.9066757493188011
3,MultirefSVMBlock,40,0.781,0.621,0.846,0.717,0.877,3.9506672219001757,0.9582132564841498,0.9337175792507204
4,MultirefBlock,60,0.785,0.633,0.814,0.712,0.874,3.9283620712038214,0.9441764300482426,0.8955892487939352
5,MultirefSVMBlock,60,0.804,0.651,0.863,0.742,0.902,3.4064584203233608,0.9576719576719577,0.9428571428571428
