,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.673,0.5,0.001,0.002,0.5,6.572327407914031,1.050173472111022,1.0
1,MultirefBlock,20,0.737,0.628,0.478,0.543,0.798,2.5493331258833223,1.049787007454739,0.9896049896049897
2,MultirefSVMBlock,20,0.729,0.627,0.421,0.504,0.758,3.3417894744368937,1.0711600888433281,0.9964359964359965
3,BaseClassifier,40,0.673,0.5,0.002,0.004,0.5,6.563652652980238,1.0490588706447737,1.0
4,MultirefBlock,40,0.758,0.689,0.472,0.56,0.821,2.3216535407159427,1.0527942312644862,0.9949509949509949
5,MultirefSVMBlock,40,0.735,0.644,0.419,0.508,0.765,3.37807572469643,1.0644151007279499,0.9964359964359965
6,BaseClassifier,60,0.673,0.0,0.0,0.0,0.5,6.581657504858015,1.0496666666666665,1.0
7,MultirefBlock,60,0.757,0.704,0.442,0.543,0.827,2.428165866858592,1.0534037558685445,0.9946539946539946
8,MultirefSVMBlock,60,0.727,0.64,0.377,0.475,0.761,3.6115411977525866,1.0635628198778273,0.9946539946539946
9,BaseClassifier,80,0.673,0.0,0.0,0.0,0.5,6.581657504858015,1.0496666666666665,1.0
10,MultirefBlock,80,0.753,0.692,0.438,0.536,0.817,2.549763804757447,1.0541130997395176,0.9943569943569943
11,MultirefSVMBlock,80,0.72,0.616,0.376,0.467,0.745,3.8725291404013262,1.0598568098568097,0.994059994059994
12,BaseClassifier,100,0.673,0.0,0.0,0.0,0.5,6.581657504858015,1.0496666666666665,1.0
13,MultirefBlock,100,0.755,0.694,0.446,0.543,0.819,2.501055373908116,1.053066734160128,0.9937629937629938
14,MultirefSVMBlock,100,0.704,0.574,0.367,0.448,0.719,4.349423244268792,1.0526493134529524,0.9899019899019899
