,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
1,MultirefBlock,20,0.917,0.016,0.007,0.01,0.586,0.5789214845486867,0.994460402133771,0.9995751911639762
2,MultirefSVMBlock,20,0.916,0.182,0.123,0.147,0.717,0.4784732932580198,0.997292794668888,0.9987255734919286
3,BaseClassifier,40,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
4,MultirefBlock,40,0.917,0.038,0.017,0.024,0.591,0.5397487520341997,0.9947263886035203,0.9993627867459643
5,MultirefSVMBlock,40,0.862,0.128,0.236,0.166,0.679,0.8029869324933259,0.9954430001494098,0.9937247870909905
6,BaseClassifier,60,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
7,MultirefBlock,60,0.932,0.021,0.003,0.006,0.628,0.49708003721062255,0.9944130317716746,0.9997875955819882
8,MultirefSVMBlock,60,0.919,0.168,0.096,0.122,0.714,0.5029736087164167,0.9984136837023243,0.9989379779099405
9,BaseClassifier,80,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
10,MultirefBlock,80,0.937,0.037,0.003,0.006,0.654,0.4848722803166936,0.9947047389235203,1.0
11,MultirefSVMBlock,80,0.934,0.122,0.021,0.035,0.692,0.5039157846514115,0.9955564532417693,0.9995751911639762
12,BaseClassifier,100,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
13,MultirefBlock,100,0.93,0.017,0.003,0.006,0.646,0.5128224150926997,0.9935910409498752,0.9997875955819882
14,MultirefSVMBlock,100,0.935,0.095,0.014,0.024,0.721,0.5078213268924401,0.9938819416431356,0.9991503823279524
