,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.674,0.068,0.363,0.115,0.528,1.5634593132386954,0.9808695652173913,0.9782608695652174
1,MultirefBlock,20,0.918,0.016,0.007,0.01,0.588,0.5761756751765006,0.9943271136627707,0.9995751911639762
2,MultirefSVMBlock,20,0.824,0.108,0.277,0.155,0.648,1.2272703823502695,0.9953714599513611,0.97999529301012
3,BaseClassifier,40,0.183,0.059,0.866,0.11,0.503,19.319640712161657,0.8330948974725798,0.7825464949928469
4,MultirefBlock,40,0.919,0.04,0.017,0.024,0.592,0.5332080546751854,0.9947361225047853,0.9993627867459643
5,MultirefSVMBlock,40,0.891,0.185,0.253,0.214,0.712,0.6203658978107285,1.0028267014568384,0.9971732985431615
6,BaseClassifier,60,0.075,0.057,0.962,0.108,0.491,63.421652012899216,0.7830188679245282,0.6886792452830188
7,MultirefBlock,60,0.933,0.022,0.003,0.006,0.626,0.49618879450673603,0.9946844300901627,0.9997875955819882
8,MultirefSVMBlock,60,0.943,0.537,0.123,0.201,0.826,0.4076196208539784,0.9993918508007297,1.0
9,BaseClassifier,80,0.734,0.042,0.164,0.067,0.467,1.6036306539998577,0.9718200620475699,0.9821613236814891
10,MultirefBlock,80,0.936,0.033,0.003,0.006,0.652,0.48765347394476066,0.9947686116700201,1.0
11,MultirefSVMBlock,80,0.938,0.286,0.041,0.072,0.77,0.475207603023847,0.9963695038321904,1.0
12,BaseClassifier,100,0.236,0.05,0.671,0.093,0.44,16.544256414950183,1.0262588816805684,0.7516218721037998
13,MultirefBlock,100,0.931,0.018,0.003,0.006,0.641,0.5111097299781022,0.9937297734627832,0.9997875955819882
14,MultirefSVMBlock,100,0.938,0.148,0.014,0.025,0.7,0.4986172473696229,0.995911254105503,1.0
