,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.685,0.079,0.36,0.129,0.534,1.5365060352363855,0.9765832385286309,0.9837883959044369
1,MultirefBlock,20,0.93,0.162,0.018,0.033,0.699,0.6142160517897537,0.9907985761300289,1.0
2,MultirefSVMBlock,20,0.928,0.154,0.025,0.042,0.718,0.6245311228156254,0.9893559687415792,1.0
3,BaseClassifier,40,0.178,0.062,0.825,0.115,0.479,21.89933182569206,0.792156862745098,0.7279411764705882
4,MultirefBlock,40,0.935,0.4,0.006,0.012,0.679,0.6015004093322887,0.9886553219886554,1.0
5,MultirefSVMBlock,40,0.923,0.299,0.132,0.183,0.795,0.5337519079804167,0.9947144426139484,0.9997860962566845
6,BaseClassifier,60,0.084,0.065,0.975,0.122,0.499,55.031519246189305,1.0780780780780779,0.7297297297297297
7,MultirefBlock,60,0.933,0.167,0.006,0.012,0.639,0.6080865292587418,0.9885725741780271,1.0
8,MultirefSVMBlock,60,0.935,0.5,0.031,0.058,0.774,0.580171472312287,0.9906291834002677,1.0
9,BaseClassifier,80,0.721,0.047,0.169,0.073,0.464,1.845862863215757,0.9724186087108317,0.980623199790521
10,MultirefBlock,80,0.933,0.077,0.003,0.006,0.625,0.6124004146419395,0.9901744535793062,1.0
11,MultirefSVMBlock,80,0.933,0.32,0.025,0.046,0.754,0.5838267513439916,0.9898827470686766,1.0
12,BaseClassifier,100,0.24,0.06,0.735,0.112,0.47,19.578485410569755,0.9167464114832535,0.7023923444976077
13,MultirefBlock,100,0.932,0.15,0.009,0.017,0.625,0.6091975003854202,0.9910977242302543,1.0
14,MultirefSVMBlock,100,0.932,0.294,0.031,0.056,0.65,0.590115619190442,0.9904685192643308,1.0
