,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.664,0.076,0.356,0.126,0.521,1.6425159583743039,0.9860460577673692,0.9800936768149883
1,MultirefBlock,20,0.914,0.059,0.018,0.027,0.554,0.7257606217141017,0.9822376480195998,0.9997854077253219
2,MultirefSVMBlock,20,0.909,0.081,0.032,0.046,0.688,0.6933491737277393,0.9855429941760876,0.9991416309012876
3,BaseClassifier,40,0.191,0.068,0.853,0.125,0.498,19.31777867580908,0.8452214452214452,0.7664335664335664
4,MultirefBlock,40,0.903,0.066,0.032,0.043,0.582,0.7960990567779334,0.9827609984829678,0.998068669527897
5,MultirefSVMBlock,40,0.876,0.132,0.147,0.139,0.72,0.7973060337712923,0.9864387217773931,0.9965375459857174
6,BaseClassifier,60,0.084,0.067,0.962,0.125,0.491,58.43326212168279,0.7852564102564102,0.6634615384615384
7,MultirefBlock,60,0.913,0.057,0.018,0.027,0.593,0.735117978705432,0.9822267620020428,0.9987124463519313
8,MultirefSVMBlock,60,0.898,0.139,0.097,0.114,0.748,0.7103328001971647,0.986490270194596,0.9987124463519313
9,BaseClassifier,80,0.725,0.051,0.174,0.079,0.469,1.9048755194131104,0.9749588423880079,0.9812841174941512
10,MultirefBlock,80,0.92,0.104,0.024,0.038,0.645,0.6793880672025807,0.9831403615681494,0.9993562231759656
11,MultirefSVMBlock,80,0.918,0.333,0.212,0.259,0.821,0.5042950068680625,0.9877369007803789,0.998068669527897
12,BaseClassifier,100,0.239,0.061,0.703,0.112,0.454,17.242092396801752,0.9952696310312203,0.7379375591296121
13,MultirefBlock,100,0.919,0.111,0.026,0.043,0.649,0.6724813732316761,0.9825845361523344,0.9993562231759656
14,MultirefSVMBlock,100,0.891,0.31,0.491,0.38,0.863,0.4788239258176077,0.9834865127400434,0.9861017709033849
