,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.674,0.068,0.363,0.115,0.528,1.5634593132386954,0.9808695652173913,0.9782608695652174
1,MultirefBlock,20,0.746,0.045,0.164,0.07,0.474,2.5291530660160504,0.9677446736270265,0.9500891265597148
2,MultirefSVMBlock,20,0.655,0.074,0.425,0.126,0.559,4.3901336417605705,0.9657527367681028,0.8999698704429044
3,BaseClassifier,40,0.183,0.059,0.866,0.11,0.503,19.319640712161657,0.8330948974725798,0.7825464949928469
4,MultirefBlock,40,0.8,0.046,0.123,0.067,0.471,1.69150560747849,0.9756714060031595,0.9691943127962085
5,MultirefSVMBlock,40,0.61,0.071,0.473,0.124,0.564,6.593546559467086,0.9616095704187058,0.8512234910277324
6,BaseClassifier,60,0.075,0.057,0.962,0.108,0.491,63.421652012899216,0.7830188679245282,0.6886792452830188
7,MultirefBlock,60,0.758,0.044,0.151,0.068,0.476,2.3631075170073927,0.9701068804275217,0.9541583166332666
8,MultirefSVMBlock,60,0.737,0.078,0.322,0.125,0.567,2.6950169693463693,0.967730589993845,0.943550514376154
9,BaseClassifier,80,0.734,0.042,0.164,0.067,0.467,1.6036306539998577,0.9718200620475699,0.9821613236814891
10,MultirefBlock,80,0.785,0.048,0.14,0.071,0.488,1.9736772491359034,0.9768753525098703,0.9620497945371042
11,MultirefSVMBlock,80,0.76,0.096,0.37,0.152,0.61,1.9040677883710373,0.9772043010752688,0.9633548387096774
12,BaseClassifier,100,0.236,0.05,0.671,0.093,0.44,16.544256414950183,1.0262588816805684,0.7516218721037998
13,MultirefBlock,100,0.734,0.043,0.168,0.069,0.461,2.7165368201894466,0.962195753495598,0.9466597617814604
14,MultirefSVMBlock,100,0.85,0.097,0.188,0.128,0.62,0.7526654802344979,0.9936837356192194,0.9952628017144146
