,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
1,MultirefBlock,20,0.775,0.05,0.158,0.076,0.497,1.881784020477312,0.9786503067484662,0.9668711656441717
2,MultirefSVMBlock,20,0.787,0.101,0.332,0.154,0.631,1.2719298615890295,0.9848822800495662,0.9799256505576208
3,BaseClassifier,40,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
4,MultirefBlock,40,0.772,0.042,0.134,0.064,0.459,2.1171113932266223,0.9765995745377187,0.9626902307314679
5,MultirefSVMBlock,40,0.793,0.102,0.325,0.155,0.643,1.6356933833336313,0.9799967207738973,0.9650762420068864
6,BaseClassifier,60,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
7,MultirefBlock,60,0.782,0.049,0.147,0.073,0.48,2.0714886036547284,0.9750445632798574,0.9574623237724842
8,MultirefSVMBlock,60,0.772,0.096,0.346,0.15,0.606,1.7021795149230456,0.9811766691989533,0.9726513041276272
9,BaseClassifier,80,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
10,MultirefBlock,80,0.774,0.047,0.147,0.071,0.486,2.162677825369485,0.9742520843550759,0.9556154977930358
11,MultirefSVMBlock,80,0.735,0.085,0.36,0.137,0.591,2.6149713144865814,0.9742770977470285,0.9486428951569984
12,BaseClassifier,100,0.942,0.0,0.0,0.0,0.5,0.47804567853529534,0.9948666666666666,1.0
13,MultirefBlock,100,0.751,0.042,0.151,0.066,0.465,2.4640683851268363,0.9685105666414078,0.9527658499621117
14,MultirefSVMBlock,100,0.826,0.106,0.267,0.152,0.634,0.8582726144436492,0.9946072684642437,0.9920281359906213
