,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.973,0.0,0.0,0.0,0.5,0.08975986055162366,0.9967333333333334,1.0
1,MultirefBlock,20,0.495,0.05,0.992,0.095,0.889,25.784377567591235,0.918407960199005,0.6921108742004264
2,MultirefSVMBlock,20,0.521,0.052,0.992,0.099,0.898,22.26610913592151,0.9333333333333332,0.7082828282828283
3,BaseClassifier,40,0.973,0.0,0.0,0.0,0.5,0.08975986055162366,0.9967333333333334,1.0
4,MultirefBlock,40,0.472,0.048,1.0,0.091,0.89,28.53845855566817,0.9149063670411985,0.68
5,MultirefSVMBlock,40,0.523,0.052,0.992,0.1,0.905,19.49827774674705,0.9380032206119162,0.7677133655394525
6,BaseClassifier,60,0.972,0.0,0.0,0.0,0.501,0.10066400527225028,0.9965945512820512,1.0
7,MultirefBlock,60,0.434,0.045,1.0,0.086,0.883,36.33068486352852,0.8907989521938441,0.5947937131630648
8,MultirefSVMBlock,60,0.486,0.049,1.0,0.094,0.921,23.270342176390216,0.932869363491373,0.7264027838190518
9,BaseClassifier,80,0.973,0.0,0.0,0.0,0.5,0.08975986055162366,0.9967333333333334,1.0
10,MultirefBlock,80,0.464,0.047,1.0,0.09,0.892,29.737381744405837,0.9013248058474189,0.6573777980813157
11,MultirefSVMBlock,80,0.513,0.052,1.0,0.098,0.925,18.94105374895281,0.9405153508771928,0.7701480263157895
12,BaseClassifier,100,0.973,0.0,0.0,0.0,0.5,0.08975986055162366,0.9967333333333334,1.0
13,MultirefBlock,100,0.465,0.047,1.0,0.091,0.891,29.234245714470376,0.904132482528107,0.6545123062898814
14,MultirefSVMBlock,100,0.49,0.05,1.0,0.094,0.919,20.388139697300375,0.923398128149748,0.7511879049676026
