,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.973,0.0,0.0,0.0,0.5,0.08976065582919546,0.9968,1.0
1,MultirefBlock,20,0.775,0.098,0.91,0.177,0.899,3.6921776054848863,0.9967233439603259,0.9450053134962806
2,MultirefSVMBlock,20,0.811,0.116,0.925,0.206,0.934,2.3115124086960464,0.9979700583608221,0.9710733316417153
3,BaseClassifier,40,0.973,0.0,0.0,0.0,0.5,0.08976065582919546,0.9968,1.0
4,MultirefBlock,40,0.795,0.105,0.895,0.188,0.919,3.3530033938403108,0.9821705426356588,0.9441860465116279
5,MultirefSVMBlock,40,0.819,0.122,0.94,0.217,0.949,2.162065273589576,0.9935494680405462,0.9713495853229455
6,BaseClassifier,60,0.972,0.0,0.0,0.0,0.501,0.10066535744343241,0.9966613247863247,1.0
7,MultirefBlock,60,0.818,0.119,0.91,0.21,0.924,2.9584869909953113,0.9861006447291301,0.9495101733232856
8,MultirefSVMBlock,60,0.828,0.129,0.947,0.227,0.95,1.9998973940691371,0.9932040444223437,0.9766285430134262
9,BaseClassifier,80,0.973,0.0,0.0,0.0,0.5,0.08976065582919546,0.9968,1.0
10,MultirefBlock,80,0.816,0.117,0.902,0.207,0.929,2.791543476638026,0.9830437337362544,0.9526567615210274
11,MultirefSVMBlock,80,0.82,0.123,0.947,0.218,0.943,2.0208356304673885,0.9929630560442322,0.9758733350087961
12,BaseClassifier,100,0.973,0.0,0.0,0.0,0.5,0.08976065582919546,0.9968,1.0
13,MultirefBlock,100,0.813,0.117,0.917,0.207,0.93,2.8889552148757502,0.9844118638355241,0.948685540950455
14,MultirefSVMBlock,100,0.816,0.12,0.94,0.213,0.946,1.867040196660298,0.9915026081103819,0.9760222110045431
