,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
1,MultirefBlock,20,0.587,0.094,0.709,0.166,0.694,2.210121261434523,0.9830548643204171,0.9587628865979382
2,MultirefSVMBlock,20,0.639,0.103,0.682,0.179,0.715,1.680507850876097,0.981667205866494,0.9666774506632158
3,BaseClassifier,40,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
4,MultirefBlock,40,0.67,0.122,0.758,0.21,0.775,1.5150299446568738,0.9840724547158026,0.976889444097439
5,MultirefSVMBlock,40,0.528,0.069,0.578,0.124,0.561,2.798812092433991,1.011946050096339,0.9518304431599229
6,BaseClassifier,60,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
7,MultirefBlock,60,0.641,0.118,0.81,0.207,0.815,1.7484268265123717,1.007826278659612,0.9722222222222222
8,MultirefSVMBlock,60,0.606,0.091,0.651,0.16,0.669,2.140476178374115,0.9813052345343303,0.9561522773623385
9,BaseClassifier,80,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
10,MultirefBlock,80,0.681,0.139,0.869,0.239,0.845,1.4728650968328338,0.9823461819701242,0.9799435913506738
11,MultirefSVMBlock,80,0.528,0.078,0.661,0.139,0.631,2.8872884555716496,1.0319079377533673,0.9631227932522558
12,BaseClassifier,100,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
13,MultirefBlock,100,0.686,0.142,0.879,0.245,0.868,1.5157814630294695,0.979354704844901,0.9747899159663865
14,MultirefSVMBlock,100,0.561,0.081,0.64,0.144,0.644,2.4953744008940077,0.9990214067278287,0.9607339449541284
