,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
1,MultirefBlock,20,0.627,0.114,0.672,0.194,0.719,1.7943530247763135,0.993927349011814,0.9735011593242796
2,MultirefSVMBlock,20,0.566,0.094,0.63,0.163,0.641,2.549226742198414,1.017364905889496,0.970856102003643
3,BaseClassifier,40,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
4,MultirefBlock,40,0.658,0.144,0.83,0.245,0.824,1.6375847966960464,0.9915254237288136,0.9716427640156454
5,MultirefSVMBlock,40,0.617,0.109,0.66,0.188,0.672,1.8179118303414725,0.9947409645294841,0.9714669352131587
6,BaseClassifier,60,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
7,MultirefBlock,60,0.671,0.154,0.872,0.262,0.853,1.6395617540642036,0.9799313157329899,0.9729555698647778
8,MultirefSVMBlock,60,0.604,0.099,0.606,0.17,0.645,2.014316140113806,0.9779735682819384,0.976279227380549
9,BaseClassifier,80,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
10,MultirefBlock,80,0.662,0.153,0.89,0.261,0.849,1.745056323447983,0.9880913361739321,0.970829236315962
11,MultirefSVMBlock,80,0.572,0.1,0.672,0.174,0.661,2.3040088066622104,0.9962369507161932,0.9664967225054625
12,BaseClassifier,100,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
13,MultirefBlock,100,0.663,0.16,0.946,0.273,0.898,1.8767867585039255,0.9810882548108825,0.9615129396151294
14,MultirefSVMBlock,100,0.582,0.108,0.725,0.189,0.679,2.1929033323432066,0.9865796155241204,0.9655422560754443
