,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.697,0.074,0.37,0.124,0.544,1.3868851194262675,0.9947550810152663,0.9853891542568137
1,MultirefBlock,20,0.601,0.093,0.678,0.164,0.685,2.017070884190929,0.9947144662759967,0.9638055842812823
2,MultirefSVMBlock,20,0.594,0.093,0.692,0.165,0.691,2.1471680037300303,1.0169056779759822,0.9713186428821267
3,BaseClassifier,40,0.181,0.059,0.875,0.11,0.507,20.35987802313548,0.8597000483792936,0.7808417997097242
4,MultirefBlock,40,0.72,0.127,0.651,0.212,0.768,1.1457511532892113,0.9837791690381331,0.985486624928856
5,MultirefSVMBlock,40,0.698,0.128,0.73,0.218,0.772,1.4349813033071541,0.9743666169895678,0.9731743666169895
6,BaseClassifier,60,0.078,0.058,0.972,0.109,0.498,61.36727800880226,0.8813559322033898,0.5847457627118644
7,MultirefBlock,60,0.717,0.136,0.723,0.228,0.807,1.1874752118588106,0.9847696163485637,0.9840948525159051
8,MultirefSVMBlock,60,0.719,0.133,0.702,0.224,0.792,1.2024845977602467,0.9798677020419901,0.9836065573770492
9,BaseClassifier,80,0.748,0.042,0.156,0.067,0.47,1.4849846765560528,0.9682660573749683,0.9855293221629855
10,MultirefBlock,80,0.742,0.152,0.758,0.254,0.832,1.079654643808965,0.991393020862569,0.9865282065674993
11,MultirefSVMBlock,80,0.746,0.156,0.765,0.258,0.823,1.018056418069591,0.9790444258172674,0.9823973176865046
12,BaseClassifier,100,0.229,0.051,0.699,0.095,0.45,16.766158702933694,1.0106796116504855,0.7524271844660194
13,MultirefBlock,100,0.763,0.166,0.768,0.273,0.854,0.9934701068563072,0.987431693989071,0.9852459016393442
14,MultirefSVMBlock,100,0.751,0.157,0.761,0.261,0.838,1.0431500152083117,0.9791840133222315,0.9825145711906744
