,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.703,0.078,0.336,0.127,0.532,1.365873738067819,0.9849028813403296,0.9870201601767468
1,MultirefBlock,20,0.61,0.113,0.741,0.196,0.735,1.9075374525456823,0.9691315365123243,0.9682100898410505
2,MultirefSVMBlock,20,0.589,0.106,0.729,0.186,0.717,2.0719337737197066,0.9752292485411457,0.9596284387281172
3,BaseClassifier,40,0.188,0.064,0.85,0.119,0.496,20.4043526945957,0.8174603174603174,0.7282913165266106
4,MultirefBlock,40,0.659,0.132,0.769,0.225,0.791,1.581650239378689,0.9825010670081091,0.9734314980793854
5,MultirefSVMBlock,40,0.647,0.13,0.791,0.224,0.788,1.6637172870429708,0.9852459016393442,0.9721311475409836
6,BaseClassifier,60,0.082,0.063,0.966,0.119,0.494,60.62258461971413,0.924924924924925,0.6486486486486487
7,MultirefBlock,60,0.693,0.153,0.832,0.258,0.829,1.354175807012723,0.9938518290808483,0.978173993237012
8,MultirefSVMBlock,60,0.666,0.133,0.763,0.227,0.791,1.6818650985137538,0.9895569620253164,0.9727848101265822
9,BaseClassifier,80,0.729,0.051,0.184,0.08,0.475,1.7861567732286119,0.9817268554602927,0.9849311509482983
10,MultirefBlock,80,0.737,0.174,0.826,0.287,0.853,1.052064038253718,0.9875371488831367,0.9853321829163072
11,MultirefSVMBlock,80,0.733,0.168,0.801,0.278,0.844,1.1124861284384338,0.9869356388088377,0.9801152737752161
12,BaseClassifier,100,0.232,0.059,0.738,0.11,0.468,20.39308680657612,0.9085487077534791,0.6938369781312127
13,MultirefBlock,100,0.767,0.195,0.841,0.317,0.878,0.966084367497615,0.9952064896755162,0.9864491150442478
14,MultirefSVMBlock,100,0.748,0.177,0.801,0.29,0.844,1.0655397855802278,1.0081782289904115,0.9873096446700508
