,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
1,MultirefBlock,20,0.691,0.139,0.699,0.232,0.752,1.3949392389412196,0.9894578313253011,0.980722891566265
2,MultirefSVMBlock,20,0.616,0.087,0.496,0.147,0.591,2.2520172267942655,0.9988099102023151,0.967543005517689
3,BaseClassifier,40,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
4,MultirefBlock,40,0.675,0.138,0.731,0.232,0.77,1.4604095762666702,0.9774397185139191,0.9742316050915865
5,MultirefSVMBlock,40,0.623,0.104,0.609,0.178,0.666,1.8246462591675368,0.9779822543542556,0.9799539927702925
6,BaseClassifier,60,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
7,MultirefBlock,60,0.725,0.167,0.779,0.275,0.816,1.1608045966884788,0.9960236640481039,0.981379109688682
8,MultirefSVMBlock,60,0.573,0.079,0.507,0.137,0.561,2.6756363442071063,0.9958027282266526,0.9632738719832109
9,BaseClassifier,80,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
10,MultirefBlock,80,0.748,0.182,0.791,0.296,0.841,1.0981796291539752,0.9907903392538295,0.9842120101494221
11,MultirefSVMBlock,80,0.503,0.064,0.469,0.112,0.494,3.048377587668824,1.0074921135646688,0.955441640378549
12,BaseClassifier,100,0.933,0.0,0.0,0.0,0.5,0.6033763492765445,0.9908666666666666,1.0
13,MultirefBlock,100,0.777,0.203,0.8,0.324,0.864,0.9041389715301591,0.9885057471264368,0.9845234862883518
14,MultirefSVMBlock,100,0.563,0.084,0.558,0.146,0.581,2.6261964049733706,0.9919519519519518,0.9621621621621622
