,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
1,MultirefBlock,20,0.595,0.093,0.685,0.164,0.687,2.1088001420346245,0.9955834495583449,0.9595536959553695
2,MultirefSVMBlock,20,0.536,0.073,0.602,0.131,0.594,2.811984750578347,0.9848773668827042,0.9473884864658788
3,BaseClassifier,40,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
4,MultirefBlock,40,0.715,0.124,0.651,0.209,0.769,1.1589034461500205,0.9810779816513762,0.9853784403669725
5,MultirefSVMBlock,40,0.586,0.059,0.412,0.103,0.526,2.3739835924768045,0.9830148619957537,0.9661414683204828
6,BaseClassifier,60,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
7,MultirefBlock,60,0.718,0.136,0.72,0.228,0.808,1.1701652605786137,0.9824915824915825,0.9852813852813853
8,MultirefSVMBlock,60,0.581,0.085,0.637,0.149,0.657,2.378060518930482,0.9902134182289825,0.9515387336399009
9,BaseClassifier,80,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
10,MultirefBlock,80,0.749,0.156,0.758,0.259,0.837,1.0274724352074713,0.9907355938484343,0.9861033907726515
11,MultirefSVMBlock,80,0.596,0.076,0.533,0.132,0.609,2.327399835820927,1.0141748228147147,0.9659129260884239
12,BaseClassifier,100,0.942,0.0,0.0,0.0,0.5,0.46915893714222534,0.9991999999999999,1.0
13,MultirefBlock,100,0.764,0.168,0.779,0.276,0.855,0.9616717382083948,0.9872460599435182,0.9874282590871822
14,MultirefSVMBlock,100,0.585,0.071,0.512,0.125,0.586,2.4525732759945242,0.991655235482396,0.9657064471879286
