,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.697,0.074,0.37,0.124,0.544,1.3868851194262675,0.9947550810152663,0.9853891542568137
1,MultirefBlock,20,0.595,0.105,0.803,0.186,0.759,2.0415112326957683,0.989047619047619,0.96
2,MultirefSVMBlock,20,0.654,0.111,0.713,0.192,0.756,1.610793866841874,0.9795442501324854,0.9745627980922098
3,BaseClassifier,40,0.181,0.059,0.875,0.11,0.507,20.35987802313548,0.8597000483792936,0.7808417997097242
4,MultirefBlock,40,0.713,0.132,0.709,0.222,0.784,1.1801422223217912,0.9817020040662212,0.9819924484461225
5,MultirefSVMBlock,40,0.708,0.136,0.758,0.231,0.8,1.3008873004977772,0.9720664896232909,0.9820005901445854
6,BaseClassifier,60,0.078,0.058,0.972,0.109,0.498,61.36727800880226,0.8813559322033898,0.5847457627118644
7,MultirefBlock,60,0.689,0.131,0.775,0.224,0.813,1.341315073194039,0.9766686954757557,0.9783931832014607
8,MultirefSVMBlock,60,0.726,0.15,0.799,0.252,0.833,1.1708690612895793,0.9943077665219489,0.9858176555716354
9,BaseClassifier,80,0.748,0.042,0.156,0.067,0.47,1.4849846765560528,0.9682660573749683,0.9855293221629855
10,MultirefBlock,80,0.647,0.132,0.913,0.23,0.87,1.8634709157927318,0.9958806501892674,0.978623914495658
11,MultirefSVMBlock,80,0.671,0.133,0.848,0.23,0.845,1.632794648005813,0.9808708518283661,0.971147748890298
12,BaseClassifier,100,0.229,0.051,0.699,0.095,0.45,16.766158702933694,1.0106796116504855,0.7524271844660194
13,MultirefBlock,100,0.679,0.142,0.9,0.245,0.875,1.6538719852034092,0.9963115186004847,0.9728106228264306
14,MultirefSVMBlock,100,0.693,0.146,0.889,0.251,0.865,1.5129005775459348,0.9789993823347746,0.9780728844966028
