,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.686,0.078,0.34,0.127,0.526,1.5047919766812754,0.9949123798756359,0.9836065573770492
1,MultirefBlock,20,0.692,0.14,0.699,0.233,0.752,1.4041640064940566,0.9863659147869673,0.9795488721804512
2,MultirefSVMBlock,20,0.673,0.126,0.654,0.211,0.732,1.4918029919831781,0.9925426499131678,0.9800796812749004
3,BaseClassifier,40,0.187,0.067,0.86,0.124,0.499,19.38008297845323,0.8979885057471264,0.7744252873563219
4,MultirefBlock,40,0.68,0.139,0.731,0.234,0.772,1.4326620492220172,0.9812930414225511,0.9740980573543015
5,MultirefSVMBlock,40,0.664,0.138,0.761,0.233,0.772,1.6150437023935638,0.9880309289270204,0.9726723863997457
6,BaseClassifier,60,0.083,0.066,0.961,0.123,0.49,58.3350374884877,0.7936507936507936,0.7047619047619048
7,MultirefBlock,60,0.728,0.171,0.791,0.281,0.819,1.1662442670963173,0.9912000773619571,0.9808529155787642
8,MultirefSVMBlock,60,0.703,0.151,0.74,0.251,0.8,1.3431342985873869,0.9829110779930451,0.980327868852459
9,BaseClassifier,80,0.733,0.051,0.17,0.079,0.472,1.802816254533468,0.9652420185375901,0.9827497425334707
10,MultirefBlock,80,0.754,0.187,0.8,0.303,0.844,1.0530415163595137,0.987571255022895,0.9851415755536865
11,MultirefSVMBlock,80,0.726,0.16,0.725,0.262,0.817,1.1051522465993742,0.9770114942528735,0.9816091954022989
12,BaseClassifier,100,0.237,0.059,0.699,0.109,0.451,17.60220085146321,0.9778621125869702,0.7419354838709677
13,MultirefBlock,100,0.788,0.213,0.803,0.336,0.868,0.8725429216731868,0.9889335118250782,0.9852744310575636
14,MultirefSVMBlock,100,0.751,0.177,0.743,0.286,0.82,1.0130515806582707,0.9805068226120858,0.985240879977722
