,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.703,0.078,0.336,0.127,0.532,1.365873738067819,0.9849028813403296,0.9870201601767468
1,MultirefBlock,20,0.64,0.115,0.685,0.197,0.733,1.7321476522952253,0.9803221969942696,0.9678884203697697
2,MultirefSVMBlock,20,0.64,0.119,0.723,0.205,0.74,1.7938037644463236,0.9893106457242583,0.9725130890052356
3,BaseClassifier,40,0.188,0.064,0.85,0.119,0.496,20.4043526945957,0.8174603174603174,0.7282913165266106
4,MultirefBlock,40,0.64,0.136,0.86,0.234,0.825,1.9453586401338612,0.998764183799573,0.9730367374452309
5,MultirefSVMBlock,40,0.611,0.126,0.857,0.22,0.804,2.260405228413333,0.9863175277188017,0.9660297239915074
6,BaseClassifier,60,0.082,0.063,0.966,0.119,0.494,60.62258461971413,0.924924924924925,0.6486486486486487
7,MultirefBlock,60,0.658,0.147,0.897,0.252,0.865,1.8408052246985847,0.9904479578392622,0.9713438735177866
8,MultirefSVMBlock,60,0.662,0.149,0.907,0.256,0.882,1.8673324306922439,1.0017480607451108,0.97312356604392
9,BaseClassifier,80,0.729,0.051,0.184,0.08,0.475,1.7861567732286119,0.9817268554602927,0.9849311509482983
10,MultirefBlock,80,0.648,0.144,0.91,0.249,0.859,1.935497124317095,0.9894748628373082,0.9748068525361102
11,MultirefSVMBlock,80,0.708,0.165,0.879,0.279,0.88,1.7196362761776527,1.0079894822006472,0.9793689320388349
12,BaseClassifier,100,0.232,0.059,0.738,0.11,0.468,20.39308680657612,0.9085487077534791,0.6938369781312127
13,MultirefBlock,100,0.685,0.162,0.935,0.276,0.896,1.6962551082514778,0.997669738375172,0.974896727041627
14,MultirefSVMBlock,100,0.702,0.171,0.944,0.289,0.906,1.7894948133584592,1.0014474772539288,0.9761166253101737
