,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
1,MultirefBlock,20,0.655,0.187,0.605,0.286,0.685,1.6437184569338399,0.9469792986903253,0.9698986058301647
2,MultirefSVMBlock,20,0.577,0.14,0.525,0.221,0.58,2.386689722882238,0.9578959645439702,0.9709587123862841
3,BaseClassifier,40,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
4,MultirefBlock,40,0.641,0.208,0.763,0.327,0.752,2.067546715825131,0.9830236292727689,0.9649002064693737
5,MultirefSVMBlock,40,0.521,0.113,0.47,0.183,0.506,3.5229184982926256,0.9470357729743395,0.9537353052711415
6,BaseClassifier,60,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
7,MultirefBlock,60,0.634,0.208,0.789,0.33,0.771,2.432096793892157,0.9978873239436619,0.9556338028169014
8,MultirefSVMBlock,60,0.572,0.168,0.698,0.271,0.691,2.4928856401040775,0.9873353596757851,0.9517477203647416
9,BaseClassifier,80,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
10,MultirefBlock,80,0.638,0.218,0.842,0.346,0.813,2.618909748229214,1.0129808264856495,0.9514112182922473
11,MultirefSVMBlock,80,0.585,0.166,0.656,0.265,0.662,2.452026128083702,0.9536801261064629,0.9556202255365588
12,BaseClassifier,100,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
13,MultirefBlock,100,0.652,0.224,0.832,0.353,0.807,2.3904112823496177,0.9944463727872266,0.957306490801805
14,MultirefSVMBlock,100,0.55,0.144,0.596,0.232,0.601,2.7296589718538655,0.9429292929292928,0.9454545454545454
