,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
1,MultirefBlock,20,0.53,0.157,0.716,0.258,0.647,3.1068258564030202,0.969243557772236,0.9551122194513716
2,MultirefSVMBlock,20,0.484,0.122,0.57,0.201,0.522,3.53252864420935,0.9326786222601765,0.9397950469684031
3,BaseClassifier,40,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
4,MultirefBlock,40,0.595,0.175,0.688,0.279,0.689,2.246303854195446,0.9537439613526569,0.9623188405797102
5,MultirefSVMBlock,40,0.565,0.15,0.605,0.241,0.611,2.698453380349747,0.9742261684548033,0.9644839067702553
6,BaseClassifier,60,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
7,MultirefBlock,60,0.685,0.218,0.682,0.331,0.747,1.6147874311603232,0.9787652786409777,0.9729645742697327
8,MultirefSVMBlock,60,0.586,0.153,0.582,0.243,0.613,2.3122162719555206,0.9570992007522331,0.9661495063469676
9,BaseClassifier,80,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
10,MultirefBlock,80,0.702,0.227,0.672,0.34,0.764,1.4025974483168113,0.9758745476477684,0.9806996381182147
11,MultirefSVMBlock,80,0.556,0.152,0.63,0.244,0.625,3.0761338053798113,0.9586975801342962,0.9483086278981376
12,BaseClassifier,100,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
13,MultirefBlock,100,0.709,0.237,0.7,0.354,0.787,1.3329952671120964,0.9795938882187374,0.9776839565741857
14,MultirefSVMBlock,100,0.54,0.139,0.586,0.225,0.584,3.1530293298602032,0.9655393287214962,0.9534973097617218
