,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.643,0.077,0.193,0.11,0.447,3.4899984262043517,0.9340628507295174,0.9060044893378226
1,MultirefBlock,20,0.524,0.157,0.728,0.259,0.649,3.144868301871327,0.96344905447361,0.9513124470787468
2,MultirefSVMBlock,20,0.531,0.161,0.737,0.264,0.659,3.0432560651469487,0.9724668064290706,0.9471698113207547
3,BaseClassifier,40,0.651,0.13,0.361,0.191,0.525,1.6325524350705791,0.924850972344376,0.9765464673116389
4,MultirefBlock,40,0.602,0.18,0.698,0.286,0.699,2.1864025082889498,0.9590664272890483,0.9651705565529622
5,MultirefSVMBlock,40,0.595,0.17,0.66,0.271,0.664,2.224835860306598,0.9589155619252359,0.9677534933715514
6,BaseClassifier,60,0.482,0.131,0.63,0.217,0.546,4.743257747426412,0.9601946041574525,0.9181777974347634
7,MultirefBlock,60,0.681,0.218,0.695,0.332,0.747,1.6565650128425489,0.9765567765567764,0.9736263736263736
8,MultirefSVMBlock,60,0.675,0.209,0.667,0.319,0.728,1.7751742081854616,0.9632537688442211,0.967964824120603
9,BaseClassifier,80,0.372,0.14,0.879,0.242,0.593,9.537567414760844,1.000467508181393,0.8302945301542777
10,MultirefBlock,80,0.701,0.226,0.672,0.339,0.762,1.3806890253712538,0.9814646922534501,0.980658809307948
11,MultirefSVMBlock,80,0.72,0.244,0.693,0.361,0.772,1.406424557726126,0.9690243661832889,0.9701094998520272
12,BaseClassifier,100,0.114,0.114,1.0,0.205,0.5,High,0.0,0.0
13,MultirefBlock,100,0.712,0.238,0.693,0.354,0.789,1.2984826354125403,0.9789294987018173,0.9781306171360096
14,MultirefSVMBlock,100,0.698,0.233,0.718,0.352,0.791,1.601422527413888,0.9736950267159884,0.9596177558569667
