,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.643,0.077,0.193,0.11,0.447,3.4899984262043517,0.9340628507295174,0.9060044893378226
1,MultirefBlock,20,0.474,0.155,0.811,0.26,0.685,4.235422779529955,0.9500661375661374,0.9439484126984127
2,MultirefSVMBlock,20,0.584,0.17,0.681,0.272,0.659,2.5802602262130847,0.9754450583179866,0.9587476979742173
3,BaseClassifier,40,0.651,0.13,0.361,0.191,0.525,1.6325524350705791,0.924850972344376,0.9765464673116389
4,MultirefBlock,40,0.594,0.186,0.756,0.298,0.731,2.480717818063539,0.986183719193428,0.9637789395070948
5,MultirefSVMBlock,40,0.62,0.193,0.735,0.306,0.74,2.1356819074927387,0.9731543624161074,0.9682091133874956
6,BaseClassifier,60,0.482,0.131,0.63,0.217,0.546,4.743257747426412,0.9601946041574525,0.9181777974347634
7,MultirefBlock,60,0.588,0.186,0.772,0.3,0.748,2.552620970484412,0.98290273556231,0.96580547112462
8,MultirefSVMBlock,60,0.621,0.204,0.802,0.326,0.78,2.614507857008192,0.9983110145976595,0.9543973941368078
9,BaseClassifier,80,0.372,0.14,0.879,0.242,0.593,9.537567414760844,1.000467508181393,0.8302945301542777
10,MultirefBlock,80,0.58,0.194,0.847,0.315,0.79,2.8081296643924247,0.9856287425149701,0.9528942115768463
11,MultirefSVMBlock,80,0.635,0.211,0.804,0.334,0.792,2.322251183134199,0.9923412277601036,0.9565217391304348
12,BaseClassifier,100,0.114,0.114,1.0,0.205,0.5,High,0.0,0.0
13,MultirefBlock,100,0.611,0.21,0.872,0.338,0.814,2.5185956684695157,0.99822695035461,0.9582066869300911
14,MultirefSVMBlock,100,0.619,0.211,0.853,0.338,0.797,2.5246760344331562,1.0037133308577793,0.9576680282213145
