,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
1,MultirefBlock,20,0.59,0.191,0.784,0.307,0.742,2.6805554878409055,0.9682418699186992,0.9493140243902439
2,MultirefSVMBlock,20,0.596,0.171,0.645,0.27,0.67,2.536877186713326,0.931769722814499,0.9548685145700071
3,BaseClassifier,40,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
4,MultirefBlock,40,0.602,0.196,0.784,0.313,0.744,2.482805425068534,0.9568890545409368,0.9549012299664554
5,MultirefSVMBlock,40,0.53,0.164,0.746,0.268,0.687,3.337418172838568,0.9281487743026204,0.945054945054945
6,BaseClassifier,60,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
7,MultirefBlock,60,0.589,0.193,0.803,0.311,0.755,2.623826019183525,0.9631484334874165,0.9426040061633282
8,MultirefSVMBlock,60,0.585,0.159,0.602,0.251,0.63,2.4543104649485485,0.9705288175876411,0.9675579322638146
9,BaseClassifier,80,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
10,MultirefBlock,80,0.645,0.225,0.844,0.355,0.818,2.4991160904409355,0.9928074519514208,0.960382030420941
11,MultirefSVMBlock,80,0.541,0.159,0.692,0.259,0.648,2.7556561140825124,0.9813472893183037,0.962157809983897
12,BaseClassifier,100,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
13,MultirefBlock,100,0.638,0.219,0.834,0.348,0.809,2.525377810602947,0.9919163100332857,0.9479315263908702
14,MultirefSVMBlock,100,0.511,0.122,0.521,0.198,0.523,3.2752571662812784,0.922226608764311,0.9439399921042242
