,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.653,0.08,0.192,0.113,0.452,3.5491248646354165,0.9423413465966657,0.9179331306990881
1,MultirefBlock,20,0.578,0.175,0.716,0.282,0.694,2.618404046189852,0.9313874147081123,0.9495830174374527
2,MultirefSVMBlock,20,0.581,0.177,0.718,0.284,0.696,2.612252451335422,0.9512501570549063,0.9498680738786279
3,BaseClassifier,40,0.653,0.124,0.329,0.18,0.512,1.7055146634598373,0.9278290993071594,0.9815242494226328
4,MultirefBlock,40,0.599,0.188,0.744,0.3,0.726,2.5967873102844123,0.941125860373648,0.9480088495575221
5,MultirefSVMBlock,40,0.627,0.193,0.702,0.303,0.722,2.232191744333676,0.98931402964495,0.9624267493967598
6,BaseClassifier,60,0.483,0.134,0.635,0.221,0.549,4.893993218873675,0.9402919062361788,0.9146395400265369
7,MultirefBlock,60,0.664,0.214,0.713,0.329,0.748,1.7547146951586399,0.9650607638888888,0.9635416666666666
8,MultirefSVMBlock,60,0.645,0.2,0.69,0.31,0.728,2.059281296443885,0.9847929847929847,0.9660339660339661
9,BaseClassifier,80,0.363,0.14,0.881,0.242,0.588,9.54426311647714,0.9966060606060606,0.8189090909090909
10,MultirefBlock,80,0.693,0.232,0.715,0.35,0.782,1.6409346376531175,0.9641599337062357,0.9673710379117464
11,MultirefSVMBlock,80,0.67,0.213,0.69,0.326,0.744,1.8634180499037711,0.9750639386189258,0.9725063938618926
12,BaseClassifier,100,0.116,0.116,1.0,0.207,0.5,High,0.0,0.0
13,MultirefBlock,100,0.711,0.247,0.732,0.369,0.794,1.48959918246058,0.976154236428209,0.9771689497716894
14,MultirefSVMBlock,100,0.717,0.242,0.68,0.357,0.769,1.4009134308126932,0.9812512334714821,0.9786856127886323
