,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.633,0.072,0.186,0.104,0.438,3.7516802634601447,0.9270508089696281,0.908032926483111
1,MultirefBlock,20,0.669,0.198,0.625,0.301,0.697,1.6616733547435558,0.9616786420910133,0.9706341768197438
2,MultirefSVMBlock,20,0.738,0.236,0.582,0.336,0.729,1.0667113412224865,0.9682981090100111,0.9830367074527252
3,BaseClassifier,40,0.649,0.12,0.328,0.176,0.509,1.6770083574429862,0.9117504601375568,0.97675094449288
4,MultirefBlock,40,0.649,0.205,0.725,0.32,0.747,2.076861744751966,0.9817168338907469,0.968561872909699
5,MultirefSVMBlock,40,0.677,0.219,0.716,0.336,0.763,1.7257769161933538,0.9679507587817043,0.9668895256287806
6,BaseClassifier,60,0.495,0.14,0.668,0.232,0.571,4.642514572359346,0.9728427507665353,0.9259745948313622
7,MultirefBlock,60,0.67,0.219,0.74,0.338,0.77,1.9198857676972239,0.9794037940379403,0.9730081300813008
8,MultirefSVMBlock,60,0.64,0.203,0.735,0.318,0.747,2.366635395018733,0.9708859319913568,0.9600818833162743
9,BaseClassifier,80,0.357,0.138,0.888,0.239,0.588,11.35276286840525,1.070842654735272,0.8284862043251305
10,MultirefBlock,80,0.654,0.219,0.796,0.344,0.793,2.211595861240113,0.9972696245733788,0.962457337883959
11,MultirefSVMBlock,80,0.677,0.226,0.756,0.348,0.786,1.8236281649795956,0.9789712067292138,0.9712067292138467
12,BaseClassifier,100,0.114,0.114,1.0,0.205,0.5,High,0.0,0.0
13,MultirefBlock,100,0.673,0.236,0.833,0.368,0.828,2.2839452147979102,0.9890637205669011,0.9507867425510546
14,MultirefSVMBlock,100,0.694,0.232,0.728,0.352,0.782,1.6947302358823038,0.9787189868161528,0.9735284957957022
