,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
1,MultirefBlock,20,0.564,0.181,0.804,0.296,0.734,2.820300575780209,0.9862681744749595,0.9579967689822294
2,MultirefSVMBlock,20,0.518,0.157,0.74,0.26,0.659,3.390577038633893,0.9683635317802703,0.948662640207075
3,BaseClassifier,40,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
4,MultirefBlock,40,0.593,0.19,0.791,0.307,0.748,2.5054602724966344,0.9903712150006334,0.9570505511212467
5,MultirefSVMBlock,40,0.445,0.12,0.609,0.2,0.52,4.2807827573376755,0.9394515771120622,0.9424631478839752
6,BaseClassifier,60,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
7,MultirefBlock,60,0.596,0.199,0.84,0.322,0.794,2.6793584701184727,0.9880355075260516,0.958703203396372
8,MultirefSVMBlock,60,0.523,0.146,0.656,0.239,0.618,2.946571646273213,0.986606532731994,0.957769577695777
9,BaseClassifier,80,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
10,MultirefBlock,80,0.592,0.197,0.839,0.319,0.785,2.7079292249639195,0.9987039917055469,0.9548989113530326
11,MultirefSVMBlock,80,0.547,0.149,0.632,0.241,0.622,2.803915814408498,0.9539295392953929,0.9550909794812233
12,BaseClassifier,100,0.886,0.0,0.0,0.0,0.5,0.7621298471075875,0.9291333333333333,1.0
13,MultirefBlock,100,0.576,0.19,0.832,0.309,0.788,2.765322347710992,1.0022648547828403,0.9584332533972821
14,MultirefSVMBlock,100,0.569,0.166,0.689,0.267,0.671,2.7045428528783475,0.980593607305936,0.9615677321156774
