,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
1,MultirefBlock,20,0.586,0.179,0.72,0.287,0.7,2.5208412424662185,0.93779606083271,0.9513836948391923
2,MultirefSVMBlock,20,0.536,0.136,0.566,0.22,0.574,3.4076059343551606,0.923549750288129,0.9508259700345755
3,BaseClassifier,40,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
4,MultirefBlock,40,0.6,0.188,0.74,0.3,0.725,2.523030421693875,0.9450159196669115,0.9500367376928729
5,MultirefSVMBlock,40,0.555,0.133,0.516,0.211,0.553,2.925883155851011,0.9343727338651197,0.9564902102973168
6,BaseClassifier,60,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
7,MultirefBlock,60,0.659,0.209,0.702,0.323,0.742,1.7787462801410356,0.962212784493085,0.9670042469781117
8,MultirefSVMBlock,60,0.652,0.166,0.497,0.248,0.619,1.711463485483165,0.937027964890794,0.9843845682792407
9,BaseClassifier,80,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
10,MultirefBlock,80,0.692,0.231,0.718,0.35,0.78,1.6602963218849425,0.9668330214181743,0.9700561447286338
11,MultirefSVMBlock,80,0.493,0.111,0.484,0.181,0.488,3.5488849327734897,0.9578127099287921,0.9467956469165659
12,BaseClassifier,100,0.884,0.0,0.0,0.0,0.5,0.804375566115425,0.9311333333333334,1.0
13,MultirefBlock,100,0.702,0.241,0.737,0.363,0.794,1.5891531071944769,0.9734075448361162,0.9721706864564007
14,MultirefSVMBlock,100,0.507,0.123,0.533,0.2,0.519,3.039610134759812,0.9076224803097049,0.9527432919503404
