,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
1,MultirefBlock,20,0.708,0.222,0.621,0.327,0.727,1.2613959933368335,0.970614163972965,0.9785483397002644
2,MultirefSVMBlock,20,0.605,0.151,0.533,0.236,0.615,2.219982076679088,0.9152447864391658,0.9672131147540983
3,BaseClassifier,40,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
4,MultirefBlock,40,0.711,0.221,0.607,0.324,0.744,1.284189873562326,0.963901018922853,0.9810771470160117
5,MultirefSVMBlock,40,0.59,0.148,0.547,0.233,0.597,2.2350535672117076,0.9617731721358664,0.9664939550949914
6,BaseClassifier,60,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
7,MultirefBlock,60,0.714,0.236,0.67,0.349,0.768,1.4717612330969132,0.9852970199328991,0.9772054470100652
8,MultirefSVMBlock,60,0.563,0.14,0.551,0.223,0.583,2.5728448643876902,0.9584996975196611,0.9673321234119783
9,BaseClassifier,80,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
10,MultirefBlock,80,0.728,0.249,0.691,0.367,0.785,1.4375480156244862,0.9859649122807017,0.9748538011695906
11,MultirefSVMBlock,80,0.549,0.126,0.496,0.201,0.534,3.030876378952655,0.9361212121212121,0.9498181818181818
12,BaseClassifier,100,0.886,0.0,0.0,0.0,0.5,0.8274328636499604,0.9290666666666666,1.0
13,MultirefBlock,100,0.733,0.259,0.718,0.38,0.801,1.3725559977947341,0.9841037643846304,0.9739613809245172
14,MultirefSVMBlock,100,0.605,0.144,0.496,0.223,0.588,2.0662157967425117,0.9369220607661823,0.9702774108322325
