,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.653,0.08,0.192,0.113,0.452,3.5491248646354165,0.9423413465966657,0.9179331306990881
1,MultirefBlock,20,0.583,0.178,0.718,0.285,0.713,2.506560110484145,0.9505755755755755,0.9451951951951952
2,MultirefSVMBlock,20,0.645,0.204,0.716,0.318,0.738,1.8199289371431746,0.9767989240080699,0.9717552118359112
3,BaseClassifier,40,0.653,0.124,0.329,0.18,0.512,1.7055146634598373,0.9278290993071594,0.9815242494226328
4,MultirefBlock,40,0.633,0.214,0.815,0.339,0.797,2.4499718363834972,0.9660835415922884,0.9535880042841842
5,MultirefSVMBlock,40,0.651,0.208,0.723,0.324,0.755,1.8284655367666574,0.9772954924874792,0.9716193656093489
6,BaseClassifier,60,0.483,0.134,0.635,0.221,0.549,4.893993218873675,0.9402919062361788,0.9146395400265369
7,MultirefBlock,60,0.61,0.205,0.825,0.329,0.77,2.728908309129281,0.9515264797507788,0.9495327102803738
8,MultirefSVMBlock,60,0.676,0.238,0.818,0.369,0.81,2.000205061603367,0.995683930942895,0.9601593625498008
9,BaseClassifier,80,0.363,0.14,0.881,0.242,0.588,9.54426311647714,0.9966060606060606,0.8189090909090909
10,MultirefBlock,80,0.633,0.22,0.853,0.349,0.815,2.416449482195418,0.9881427707199031,0.9553539019963703
11,MultirefSVMBlock,80,0.671,0.233,0.804,0.361,0.806,2.1297978325684994,0.979340219926691,0.9596801066311229
12,BaseClassifier,100,0.116,0.116,1.0,0.207,0.5,High,0.0,0.0
13,MultirefBlock,100,0.636,0.222,0.858,0.353,0.82,2.585505100624232,1.0007233273056058,0.9468354430379747
14,MultirefSVMBlock,100,0.638,0.222,0.853,0.353,0.817,2.827075692630501,0.9880225176667864,0.9428674092705713
