,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.633,0.072,0.186,0.104,0.438,3.7516802634601447,0.9270508089696281,0.908032926483111
1,MultirefBlock,20,0.709,0.223,0.626,0.329,0.728,1.2662698218833839,0.968627450980392,0.9794117647058823
2,MultirefSVMBlock,20,0.717,0.212,0.546,0.306,0.71,1.1452583528271134,0.9534993397472175,0.9850028296547821
3,BaseClassifier,40,0.649,0.12,0.328,0.176,0.509,1.6770083574429862,0.9117504601375568,0.97675094449288
4,MultirefBlock,40,0.712,0.222,0.611,0.326,0.742,1.2773210499237848,0.965433537236625,0.9804835420914652
5,MultirefSVMBlock,40,0.719,0.223,0.591,0.324,0.735,1.160481414483911,0.9520397439571988,0.9813700200630553
6,BaseClassifier,60,0.495,0.14,0.668,0.232,0.571,4.642514572359346,0.9728427507665353,0.9259745948313622
7,MultirefBlock,60,0.715,0.235,0.668,0.348,0.767,1.4445179507983141,0.9822537710736469,0.9757468204673173
8,MultirefSVMBlock,60,0.694,0.21,0.609,0.312,0.722,1.3230975676982553,0.9691081215744892,0.9814648729446935
9,BaseClassifier,80,0.357,0.138,0.888,0.239,0.588,11.35276286840525,1.070842654735272,0.8284862043251305
10,MultirefBlock,80,0.726,0.25,0.702,0.369,0.788,1.4481290155485453,0.9868666078604332,0.9744192884445751
11,MultirefSVMBlock,80,0.693,0.222,0.677,0.335,0.754,1.562312698759797,0.9831495098039215,0.9724264705882353
12,BaseClassifier,100,0.114,0.114,1.0,0.205,0.5,High,0.0,0.0
13,MultirefBlock,100,0.728,0.253,0.712,0.374,0.801,1.4675670693644918,0.982833039042574,0.9693937610359035
14,MultirefSVMBlock,100,0.713,0.24,0.702,0.358,0.78,1.3991387255354653,0.9749200639488409,0.9751199040767387
