,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,60,0.758,0.087,0.905,0.159,0.913,7.402533800147381,0.9687443541102077,0.8780487804878049
1,MultirefSVMBlock,60,0.861,0.15,0.968,0.26,0.972,2.3498969406075503,1.0183150183150182,0.9827998088867654
