,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.712,0.073,0.889,0.134,0.896,9.91590719189287,0.9630057803468208,0.8508670520231214
1,MultirefSVMBlock,20,0.802,0.107,0.937,0.192,0.934,3.6160315575068296,1.011111111111111,0.961025641025641
2,MultirefBlock,40,0.729,0.081,0.937,0.148,0.91,8.989081156054965,0.9728506787330315,0.8631221719457014
3,MultirefSVMBlock,40,0.854,0.141,0.937,0.245,0.956,2.4506187629266094,1.0224251161300657,0.980297933685728
