,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.553,0.052,0.968,0.098,0.892,30.10570793306698,0.9219536757301108,0.6238670694864048
1,MultirefSVMBlock,20,0.709,0.078,0.968,0.144,0.938,9.452918489211584,0.9811357448463633,0.8593932322053676
2,MultirefBlock,40,0.515,0.049,0.984,0.093,0.884,37.65140861979211,0.9472539423599782,0.5701468189233279
3,MultirefSVMBlock,40,0.72,0.081,0.984,0.15,0.957,8.27854717974671,1.0230149597238203,0.9096662830840047
4,MultirefBlock,60,0.547,0.051,0.968,0.097,0.885,31.535701435411738,0.920550038197097,0.6035141329258976
5,MultirefSVMBlock,60,0.676,0.07,0.968,0.131,0.934,11.818033756740931,0.9879345603271983,0.8466257668711656
