,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.712,0.073,0.889,0.135,0.896,9.86418583546515,0.9628560431100845,0.8504618937644342
1,MultirefSVMBlock,20,0.804,0.107,0.921,0.191,0.932,3.836798878296719,1.0023858214042263,0.9498977505112475
2,MultirefBlock,40,0.73,0.081,0.937,0.149,0.91,8.919974071598602,0.9742141916054959,0.8633540372670807
3,MultirefSVMBlock,40,0.849,0.136,0.937,0.238,0.952,2.636176520218953,1.0238671182067407,0.9777455249153363
4,MultirefBlock,60,0.758,0.087,0.905,0.159,0.913,7.41465403051285,0.9680043383947938,0.8774403470715835
5,MultirefSVMBlock,60,0.859,0.148,0.968,0.257,0.971,2.3041610600168667,1.0188378033205618,0.98227969348659
