,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.552,0.052,0.968,0.098,0.892,30.33396318185555,0.9207670956346201,0.6214988644965935
1,MultirefSVMBlock,20,0.675,0.071,0.984,0.132,0.934,12.910323577068425,0.9582052858020896,0.8045482483097726
2,MultirefBlock,40,0.515,0.049,0.984,0.093,0.884,37.6515367001484,0.9469820554649266,0.5701468189233279
3,MultirefSVMBlock,40,0.686,0.073,0.984,0.137,0.949,10.80773243361864,1.0118831822759313,0.8719033232628399
4,MultirefBlock,60,0.547,0.051,0.968,0.097,0.885,31.53591346504524,0.9210593328240387,0.6035141329258976
5,MultirefSVMBlock,60,0.673,0.07,0.968,0.13,0.931,12.14158724236674,0.9827479975354281,0.8416512630930376
