,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.789,0.616,0.859,0.718,0.887,9.065377727593955,0.9452701108752064,0.8329794762915782
1,MultirefSVMBlock,20,0.764,0.598,0.741,0.662,0.845,5.157451102927439,0.9367666232073011,0.9048239895697523
2,MultirefBlock,40,0.805,0.634,0.887,0.74,0.902,8.777108900161352,0.9318665720369055,0.8275372604684174
3,MultirefSVMBlock,40,0.818,0.653,0.888,0.753,0.916,5.945988913086694,0.9564512392865416,0.9263377345378735
4,MultirefBlock,60,0.805,0.634,0.888,0.74,0.899,9.065543787067497,0.9225302061122955,0.8194740582800284
5,MultirefSVMBlock,60,0.838,0.683,0.896,0.775,0.927,4.644680639818603,0.952122854561879,0.9512195121951219
