,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,MultirefBlock,20,0.79,0.617,0.86,0.719,0.888,9.052471422168082,0.9459778249587166,0.8329794762915782
1,MultirefSVMBlock,20,0.778,0.612,0.783,0.687,0.857,5.4844910936838005,0.9418553040390589,0.9067909454061251
2,MultirefBlock,40,0.806,0.635,0.887,0.74,0.903,8.694485682691607,0.9314420803782505,0.8290780141843972
3,MultirefSVMBlock,40,0.813,0.646,0.89,0.748,0.914,6.178044020562766,0.9562573099415205,0.9164912280701755
4,MultirefBlock,60,0.805,0.633,0.888,0.74,0.898,9.122936074324798,0.9234234234234233,0.8186344238975818
5,MultirefSVMBlock,60,0.827,0.666,0.894,0.763,0.922,5.260036027272918,0.9541179169534297,0.9387474191328287
